,boxes
0,"[[(array([[265.73385367, 158.06967243]]), array([[263.57496986, 169.87387595]]), array([[285.49000254, 173.88194047]]), array([[287.64888635, 162.07773695]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[217.91092983, 191.82379346]]), array([[234.69527932, 194.52298073]]), array([[237.82599828, 175.05523879]]), array([[221.04164878, 172.35605153]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[199.30425851, 238.92725199]]), array([[203.21044738, 227.58081253]]), array([[189.90489182, 223.00016736]]), array([[185.99870295, 234.34660683]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[202.81494222, 242.39297732]]), array([[201.26512314, 235.5667001 ]]), array([[178.56741072, 240.7199259 ]]), array([[180.11722981, 247.54620313]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[267.67675759, 296.3973917 ]]), array([[263.19742542, 307.53002765]]), array([[278.85102019, 313.82841475]]), array([[283.33035236, 302.6957788 ]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[251.78015127, 335.69913503]]), array([[252.48292062, 342.6637682 ]]), array([[275.18063304, 340.37344562]]), array([[274.47786369, 333.40881245]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[280.91038027, 353.82466926]]), array([[279.70563281, 365.76404042]]), array([[302.40334522, 368.054363  ]]), array([[303.60809268, 356.11499184]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[279.51445545, 393.50728634]]), array([[276.40547919, 405.09755237]]), array([[299.88587134, 411.39593946]]), array([[302.99484761, 399.80567344]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[263.08905229, 427.08467742]]), array([[263.08905229, 439.08467742]]), array([[282.65604575, 439.08467742]]), array([[282.65604575, 427.08467742]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[260.47525074, 487.7841145 ]]), array([[261.00677541, 499.77233712]]), array([[286.83520678, 498.62717582]]), array([[286.30368211, 486.63895321]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[167.0213586 , 601.25950559]]), array([[160.35609238, 591.28081699]]), array([[142.35445839, 603.30501054]]), array([[149.01972462, 613.28369914]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
