,boxes
0,"[[(array([[382.02006994, 228.09453981]]), array([[345.56816535, 234.43951037]]), array([[354.35247908, 284.90546019]]), array([[390.80438367, 278.56048963]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[423.99340792, 113.33007752]]), array([[396.45757248,  88.61615904]]), array([[370.1046313 , 117.97816621]]), array([[397.64046674, 142.69208469]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[448.79007513, 311.80072755]]), array([[441.93541507, 337.91611833]]), array([[490.87659154, 350.76199646]]), array([[497.7312516 , 324.64660569]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[347.74565827, 578.92872739]]), array([[372.31316526, 590.12862028]]), array([[389.88179271, 551.59098587]]), array([[365.31428572, 540.39109298]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[724.41402889, 475.20700526]]), array([[753.60557895, 488.31629223]]), array([[781.21342209, 426.83958972]]), array([[752.02187203, 413.73030275]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[743.05623771, 630.37221077]]), array([[719.9045466 , 652.46291467]]), array([[757.55160543, 691.91811181]]), array([[780.70329654, 669.82740791]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[720.457124  , 718.82426982]]), array([[742.50366031, 742.01802408]]), array([[780.15071914, 706.23307785]]), array([[758.10418283, 683.03932359]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[694.39337538, 791.16280548]]), array([[690.76348736, 833.0056533 ]]), array([[764.80270305, 839.42859236]]), array([[768.43259107, 797.58574455]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[298.48420597, 789.0930588 ]]), array([[268.47657834, 800.20801647]]), array([[284.79030383, 844.25102722]]), array([[314.79793146, 833.13606956]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[464.75339862, 737.1250582 ]]), array([[466.12895432, 764.08999556]]), array([[520.08973863, 761.33730739]]), array([[518.71418294, 734.37237003]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[326.52184389, 877.4839723 ]]), array([[348.36050905, 847.61638612]]), array([[294.39972474, 808.16118899]]), array([[272.56105958, 838.02877517]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
