,boxes
0,"[[(array([[344.7765608 , 145.07170725]]), array([[353.53553071, 159.6415544 ]]), array([[370.32474639, 149.54836444]]), array([[361.56577648, 134.97851728]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[344.98560379, 188.06959113]]), array([[339.89511516, 177.2028103 ]]), array([[324.22518052, 184.5433121 ]]), array([[329.31566915, 195.41009292]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[298.06158336, 188.69386613]]), array([[286.08384148, 189.42441344]]), array([[287.20312252, 207.77566792]]), array([[299.18086441, 207.04512061]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[268.9185434 , 206.92603051]]), array([[268.21707752, 218.9055107 ]]), array([[283.88701216, 219.82307343]]), array([[284.58847804, 207.84359324]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[416.93925482, 282.75212407]]), array([[408.9708759 , 291.72457844]]), array([[422.40224845, 303.65289385]]), array([[430.37062737, 294.68043948]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[369.56322189, 331.46129215]]), array([[369.04298726, 338.44193366]]), array([[381.35507876, 339.35949638]]), array([[381.8753134 , 332.37885487]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[245.08255027, 281.7789321 ]]), array([[249.52039091, 287.19239407]]), array([[256.23607718, 281.68701772]]), array([[251.79823654, 276.27355575]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[372.08790663, 584.73358911]]), array([[377.71111298, 595.33451125]]), array([[396.73889076, 585.24132129]]), array([[391.1156844 , 574.64039914]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[383.28279981, 612.71489351]]), array([[379.94759235, 624.24209574]]), array([[398.97537012, 629.74747208]]), array([[402.31057759, 618.22026985]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[356.15769528, 643.43464077]]), array([[355.58576877, 650.41123737]]), array([[366.77857923, 651.32880009]]), array([[367.35050574, 644.35220349]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[366.12965619, 711.1686916 ]]), array([[361.28374251, 722.14672059]]), array([[375.8343961 , 728.56965966]]), array([[380.68030978, 717.59163066]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
11,"[[(array([[344.46827507, 797.43125085]]), array([[349.36669225, 808.38595345]]), array([[361.67878375, 802.88057711]]), array([[356.78036657, 791.92587451]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
12,"[[(array([[356.87571033, 922.08537979]]), array([[352.62919163, 933.30888544]]), array([[367.17984523, 938.81426178]]), array([[371.42636392, 927.59075614]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
13,"[[(array([[357.34779791, 974.68131499]]), array([[356.63422824, 981.64484989]]), array([[374.54272497, 983.47997534]]), array([[375.25629464, 976.51644043]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
14,"[[(array([[349.15604575, 761.78853047]]), array([[349.15604575, 768.78853047]]), array([[361.46813725, 768.78853047]]), array([[361.46813725, 761.78853047]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
