,boxes
0,"[[(array([[245.44055095, 118.16114555]]), array([[245.72611572, 135.15874693]]), array([[276.82088696, 134.63634549]]), array([[276.53532219, 117.63874411]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[244.10635579, 195.885246  ]]), array([[249.32174878, 212.06547084]]), array([[273.6322063 , 204.22944934]]), array([[268.41681331, 188.0492245 ]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[149.82887967, 200.97913921]]), array([[143.46197001, 211.1507891 ]]), array([[160.9881138 , 222.12121921]]), array([[167.35502346, 211.94956932]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[231.51133722, 222.64796702]]), array([[229.12591768, 234.40848459]]), array([[252.30565625, 239.1100975 ]]), array([[254.69107578, 227.34957992]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[226.45169869, 233.62426996]]), array([[224.00908563, 245.37304187]]), array([[246.62346471, 250.07465477]]), array([[249.06607777, 238.32588286]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[155.72272867, 268.21265989]]), array([[159.05178114, 279.74164118]]), array([[177.1432844 , 274.51762685]]), array([[173.81423194, 262.98864555]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[234.65859958, 281.75353044]]), array([[231.63225009, 293.36564518]]), array([[253.6812697 , 299.11206095]]), array([[256.70761919, 287.49994621]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[228.43109074, 320.64771721]]), array([[227.68328835, 327.60765913]]), array([[251.99374586, 330.2196663 ]]), array([[252.74154825, 323.25972438]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[239.46904785, 461.82535834]]), array([[244.91330509, 477.93001801]]), array([[268.09304365, 470.0939965 ]]), array([[262.64878641, 453.98933683]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[149.98266682, 124.96587438]]), array([[138.78530704, 137.7572439 ]]), array([[149.5271371, 147.1604697]]), array([[160.72449688, 134.36910019]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
