,boxes
0,"[[(array([[215.25596509,  64.85133595]]), array([[211.68847936,  91.61461388]]), array([[252.02181269,  96.99095796]]), array([[255.58929842,  70.22768003]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[344.12848302, 139.72079142]]), array([[324.81596143, 150.2577032 ]]), array([[340.70485032, 179.379567  ]]), array([[360.01737191, 168.84265522]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[327.34131874, 179.20990001]]), array([[330.60312571, 195.89404264]]), array([[358.10312571, 190.51769856]]), array([[354.84131874, 173.83355592]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[207.03144238, 223.64959454]]), array([[191.80189095, 231.20345205]]), array([[204.02411317, 255.84502911]]), array([[219.2536646, 248.2911716]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[205.07073174, 293.10294849]]), array([[213.31815715, 278.2375533 ]]), array([[190.70704604, 265.69275043]]), array([[182.45962063, 280.55814562]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[178.95696364, 355.58867761]]), array([[173.43192524, 371.66580268]]), array([[192.9874808 , 378.38623279]]), array([[198.5125192 , 362.30910771]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[ 72.03649223, 318.0807158 ]]), array([[ 67.68572999, 301.64688277]]), array([[ 45.68572999, 307.47125553]]), array([[ 50.03649223, 323.90508856]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[248.51357668, 340.64462542]]), array([[228.54197887, 349.87150361]]), array([[241.37531221, 377.64928139]]), array([[261.34691001, 368.4224032 ]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[245.01420382, 373.10839385]]), array([[265.04135174, 364.00271726]]), array([[250.98579618, 333.08873877]]), array([[230.95864826, 342.19441536]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[145.31850659, 410.78340396]]), array([[160.62593785, 403.38863905]]), array([[150.23704896, 381.8832627 ]]), array([[134.9296177 , 389.27802762]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
