,boxes
0,"[[(array([[132.86811933,  83.04779344]]), array([[148.15639048,  75.61349688]]), array([[143.25442969,  65.53285172]]), array([[127.96615854,  72.96714828]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[250.06342048, 135.37930573]]), array([[251.54932462, 152.31424266]]), array([[269.93167756, 150.70133943]]), array([[268.44577342, 133.7664025 ]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[270.13149447, 164.71539596]]), array([[275.59889768, 175.39750727]]), array([[286.62830945, 169.75234598]]), array([[281.16090624, 159.07023467]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[177.14069302, 311.51063562]]), array([[165.15832659, 310.86033212]]), array([[163.93283639, 333.44097728]]), array([[175.91520282, 334.09128078]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[ 97.73620063, 226.70693092]]), array([[108.53340721, 221.47048843]]), array([[ 99.34223074, 202.51887553]]), array([[ 88.54502416, 207.75531802]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[ 98.50758785, 263.0872263 ]]), array([[ 96.73260823, 251.21922531]]), array([[ 69.77182392, 255.25148338]]), array([[ 71.54680354, 267.11948436]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[ 78.73379969, 304.47618471]]), array([[ 82.1926709 , 321.12058948]]), array([[ 93.83482776, 318.70123464]]), array([[ 90.37595655, 302.05682988]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[117.3933153, 289.9314322]]), array([[120.73903764, 278.40727748]]), array([[ 99.90570431, 272.35889038]]), array([[ 96.55998197, 283.8830451 ]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[ 94.98116232, 366.37139475]]), array([[ 86.7786416 , 357.61247622]]), array([[ 70.84726905, 372.53183106]]), array([[ 79.04978977, 381.29074959]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[ 81.28366571, 386.93995288]]), array([[ 80.86829508, 374.9471439 ]]), array([[ 57.58398135, 375.75359551]]), array([[ 57.99935198, 387.74640449]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[ 91.91607574, 401.85834804]]), array([[ 80.03980661, 403.57713583]]), array([[ 82.490787 , 420.5126197]]), array([[ 94.36705614, 418.79383191]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
11,"[[(array([[208.28869571, 472.5610013 ]]), array([[218.56914743, 486.10028903]]), array([[234.50051998, 474.00351483]]), array([[224.22006825, 460.4642271 ]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
12,"[[(array([[257.77391526, 472.32012381]]), array([[241.38784945, 467.79277942]]), array([[235.26039847, 489.97019877]]), array([[251.64646428, 494.49754316]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
13,"[[(array([[230.55943794, 334.34982473]]), array([[235.51409147, 345.27920753]]), array([[263.08762089, 332.77920753]]), array([[258.13296735, 321.84982473]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
14,"[[(array([[200.09304879, 193.83650911]]), array([[191.22557866, 201.9215554 ]]), array([[205.93146101, 218.05058766]]), array([[214.79893114, 209.96554137]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
