,boxes
0,"[[(array([[273.43230267, 149.9517496 ]]), array([[259.96243418, 139.58050846]]), array([[247.17296049, 156.19110754]]), array([[260.64282898, 166.56234868]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[191.11536657, 262.71404821]]), array([[207.27937027, 267.97950017]]), array([[215.09515974, 243.98641262]]), array([[198.93115604, 238.72096065]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[222.17798381, 178.90470628]]), array([[209.37464777, 190.08838128]]), array([[223.74306883, 206.53769003]]), array([[236.54640486, 195.35401504]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[162.68200111, 178.49149498]]), array([[150.60747257, 166.52463405]]), array([[135.68641994, 181.57993359]]), array([[147.76094848, 193.54679452]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[219.01407151, 201.71986028]]), array([[203.69645481, 209.09350378]]), array([[213.09119165, 228.60963281]]), array([[228.40880835, 221.23598931]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[253.20021573, 211.7758984 ]]), array([[236.93136322, 206.84391727]]), array([[229.74715269, 230.54207395]]), array([[246.01600521, 235.47405508]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[289.15633795, 348.95859639]]), array([[292.80272638, 370.65430683]]), array([[330.22962696, 364.36398425]]), array([[326.58323853, 342.66827381]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[285.97079457, 382.45322868]]), array([[301.97657385, 397.54677132]]), array([[322.93563818, 375.32096487]]), array([[306.9298589 , 360.22742222]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[167.23426969, 307.15083351]]), array([[176.10491159, 292.64870566]]), array([[149.34467768, 276.28004206]]), array([[140.47403578, 290.78216992]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[206.14173239, 333.44266757]]), array([[221.59510972, 340.52737851]]), array([[230.85826761, 320.32230939]]), array([[215.40489028, 313.23759845]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
