,boxes
0,"[[(array([[373.96684786, 130.96232146]]), array([[362.48576652, 155.39968571]]), array([[401.54622403, 173.75094019]]), array([[413.02730538, 149.31357594]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[343.68313792, 148.55526039]]), array([[368.21718888, 159.82825216]]), array([[387.1894111 , 118.53792958]]), array([[362.65536014, 107.2649378 ]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[603.5649043 , 301.12883863]]), array([[590.45306956, 324.73137642]]), array([[631.74555322, 347.67044452]]), array([[644.85738796, 324.06790674]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[557.14609064, 332.34375857]]), array([[576.60717733, 357.74584717]]), array([[625.71175249, 320.12577548]]), array([[606.25066581, 294.72368688]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[602.02869196, 555.28061166]]), array([[578.59712504, 577.07422705]]), array([[622.12163484, 623.86992597]]), array([[645.55320176, 602.07631059]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[572.5084637 , 589.66805026]]), array([[574.63696113, 621.59718271]]), array([[615.92944479, 618.84449454]]), array([[613.80094736, 586.91536209]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[504.94551929, 663.43470109]]), array([[490.42212777, 679.95956414]]), array([[522.78650685, 708.40400858]]), array([[537.30989838, 691.87914554]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[299.12725141, 733.35141425]]), array([[330.18810807, 725.65575421]]), array([[317.91196428, 676.10736711]]), array([[286.85110762, 683.80302715]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[523.40682077, 816.03363492]]), array([[496.51311388, 813.64020021]]), array([[493.16507466, 851.26027189]]), array([[520.05878155, 853.6537066 ]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[472.73375575, 842.16912953]]), array([[493.61755144, 866.41509986]]), array([[517.05382595, 846.22871993]]), array([[496.17003026, 821.9827496 ]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
