,boxes
0,"[[(array([[336.21719309, 267.12431558]]), array([[336.75993109, 289.11761991]]), array([[369.43966965, 288.3111683 ]]), array([[368.89693166, 266.31786396]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[339.49160574, 325.25382253]]), array([[348.19140079, 339.8590807 ]]), array([[371.88421125, 325.74617747]]), array([[363.1844162, 311.1409193]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[161.88172329,  71.88123457]]), array([[146.71631593,  64.19941059]]), array([[138.13788456,  81.13489446]]), array([[153.30329191,  88.81671845]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[197.35346429, 172.47960488]]), array([[202.7478429 , 188.60104028]]), array([[226.84915009, 180.53652415]]), array([[221.45477148, 164.41508875]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[241.70647775, 196.12683472]]), array([[226.20528695, 189.14735883]]), array([[218.03535231, 207.29252012]]), array([[233.53654311, 214.27199601]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[285.6482696 , 230.61495873]]), array([[290.10663236, 241.75600902]]), array([[305.22101144, 235.70762192]]), array([[300.76264869, 224.56657163]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[109.61723644, 240.67583698]]), array([[120.54943022, 235.72738882]]), array([[111.97099885, 216.77577592]]), array([[101.03880507, 221.72422408]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[174.92835178, 277.57930128]]), array([[169.61739985, 288.34005356]]), array([[192.49321685, 299.63037614]]), array([[197.80416878, 288.86962386]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[221.77744003, 322.85544152]]), array([[225.70948808, 334.19294557]]), array([[240.82386716, 328.95101009]]), array([[236.89181911, 317.61350604]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[116.48592314, 339.08304007]]), array([[112.86375006, 327.64276638]]), array([[ 91.21342326, 334.49760509]]), array([[ 94.83559635, 345.93787878]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
