,boxes
0,"[[(array([[532.46792316, 173.95576217]]), array([[534.3245605 , 185.81126292]]), array([[557.76083501, 182.14101202]]), array([[555.90419767, 170.28551128]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[531.5217776 , 240.24834589]]), array([[535.27070606, 251.64771146]]), array([[563.17103286, 242.47208422]]), array([[559.4221044 , 231.07271865]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[480.48115326, 354.26726724]]), array([[488.10218007, 344.99796573]]), array([[466.8979317 , 327.56427398]]), array([[459.2769049 , 336.83357548]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[516.39421413, 393.38107589]]), array([[530.31003424, 403.14580583]]), array([[547.05023032, 379.289175  ]]), array([[533.13441021, 369.52444507]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[543.73022229, 576.03181412]]), array([[529.75833981, 593.02553355]]), array([[559.89069275, 617.7997271 ]]), array([[573.86257523, 600.80600767]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[379.65080612, 644.26795875]]), array([[376.89004355, 666.09404842]]), array([[405.90638342, 669.76429931]]), array([[408.66714599, 647.93820965]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[413.90350563, 556.24088756]]), array([[422.99028522, 570.6085748 ]]), array([[452.00662509, 552.25732032]]), array([[442.9198455 , 537.88963308]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[431.39185124, 809.48805974]]), array([[427.82220105, 831.19652808]]), array([[472.46272393, 838.53702987]]), array([[476.03237411, 816.82856153]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[274.80053442, 252.4458187 ]]), array([[269.6978316 , 263.30686947]]), array([[285.3220146 , 270.64737127]]), array([[290.42471742, 259.78632049]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[272.55880934, 311.42657382]]), array([[278.63563511, 321.77414303]]), array([[294.25981811, 312.59851579]]), array([[288.18299234, 302.25094658]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[319.95746645, 491.22502484]]), array([[329.44612832, 505.33053071]]), array([[353.9984159 , 488.81440168]]), array([[344.50975403, 474.70889581]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
11,"[[(array([[415.52232106, 525.9881734 ]]), array([[410.21133907, 542.13727463]]), array([[432.53160051, 549.47777642]]), array([[437.8425825 , 533.32867519]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
12,"[[(array([[293.01889849, 533.09545728]]), array([[289.42391196, 549.71099434]]), array([[310.62816033, 554.29880796]]), array([[314.22314686, 537.6832709 ]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
13,"[[(array([[174.59761927, 630.47114311]]), array([[155.62623694, 619.33172427]]), array([[140.00205393, 645.94104327]]), array([[158.97343627, 657.08046211]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
