,boxes
0,"[[(array([[160.83443914,  23.72365196]]), array([[155.7848419 ,  18.87581041]]), array([[146.19987458,  28.85968137]]), array([[151.24947182,  33.70752293]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[230.54287083,  57.19697895]]), array([[231.22020106,  64.16413216]]), array([[248.33621414,  62.50015366]]), array([[247.6588839 ,  55.53300046]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[189.57526025, 132.18062771]]), array([[191.40022995, 138.93854792]]), array([[205.77768093, 135.05593143]]), array([[203.95271123, 128.29801122]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[189.80310458, 168.6671147 ]]), array([[189.80310458, 175.6671147 ]]), array([[205.5498366, 175.6671147]]), array([[205.5498366, 168.6671147]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[196.65301923, 216.09363072]]), array([[193.90743829, 222.53271336]]), array([[206.91560822, 228.07930835]]), array([[209.66118916, 221.6402257 ]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[151.53479831, 226.03344394]]), array([[140.43742391, 221.46745211]]), array([[134.96029973, 234.77928007]]), array([[146.05767413, 239.3452719 ]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[186.32287408, 337.43718829]]), array([[190.54477298, 343.02069701]]), array([[200.81438082, 335.25546404]]), array([[196.59248192, 329.67195532]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[195.70315222, 382.39088566]]), array([[193.48802425, 389.03115735]]), array([[205.12691314, 392.91377384]]), array([[207.34204111, 386.27350215]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[192.01474286, 403.30984059]]), array([[198.54571465, 405.8290483 ]]), array([[201.96891727, 396.95449633]]), array([[195.43794548, 394.43528862]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[214.98570179, 507.01258597]]), array([[215.28390605, 514.00623124]]), array([[228.29207599, 513.45157174]]), array([[227.99387172, 506.45792647]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[177.4029113 , 470.72367389]]), array([[178.92552008, 482.62668454]]), array([[191.93369001, 480.96270604]]), array([[190.41108123, 469.05969539]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
