,boxes
0,"[[(array([[741.06954211, 432.2509478 ]]), array([[707.25071933, 478.13435686]]), array([[772.50562129, 526.23113105]]), array([[806.32444407, 480.347722  ]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[619.03404407, 794.84341062]]), array([[621.80909319, 747.92540659]]), array([[531.45615201, 742.58132056]]), array([[528.68110289, 789.4993246 ]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[485.59143983,  48.20132724]]), array([[504.27130527,  67.69652222]]), array([[529.36934448,  43.64813512]]), array([[510.68947905,  24.15294015]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[540.20261438, 138.11021505]]), array([[503.20261438, 138.11021505]]), array([[503.20261438, 184.42562724]]), array([[540.20261438, 184.42562724]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[461.51008232, 231.23658879]]), array([[424.61410068, 228.46412805]]), array([[421.26769545, 272.99817823]]), array([[458.1636771 , 275.77063897]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[411.92445013, 372.75097739]]), array([[427.35005967, 350.59131651]]), array([[383.8467917 , 320.30816239]]), array([[368.42118216, 342.46782327]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[391.09329479, 466.51414218]]), array([[418.06356795, 465.24750656]]), array([[416.39036534, 429.62026642]]), array([[389.42009218, 430.88690204]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[407.14091487, 693.50633773]]), array([[381.9375165 , 703.19079488]]), array([[396.99634003, 742.38075904]]), array([[422.1997384 , 732.69630189]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[395.50370239, 757.08266861]]), array([[400.26753944, 778.56070056]]), array([[440.42440219, 769.65389053]]), array([[435.66056514, 748.17585858]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[488.33737865, 832.64523231]]), array([[461.3685037 , 857.97663149]]), array([[494.83255599, 893.60387163]]), array([[521.80143094, 868.27247246]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
