,boxes
0,"[[(array([[181.87744281, 313.65988169]]), array([[183.06863562, 301.71915057]]), array([[165.84968137, 300.00140863]]), array([[164.65848856, 311.94213975]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[255.8944577 , 252.08791367]]), array([[256.19541158, 259.08144116]]), array([[269.50096713, 258.50886052]]), array([[269.20001326, 251.51533303]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[262.02379224, 232.28790315]]), array([[259.4582339 , 238.80080653]]), array([[269.6330705 , 242.80887104]]), array([[272.19862884, 236.29596767]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[244.16260726, 209.14401612]]), array([[244.44686986, 216.13824194]]), array([[258.53510515, 215.5656613 ]]), array([[258.25084256, 208.57143548]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[253.49685012, 191.43996443]]), array([[252.33158125, 198.34229364]]), array([[262.50641785, 200.06003557]]), array([[263.67168672, 193.15770636]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[228.45374271, 146.60273923]]), array([[222.58710696, 150.42145432]]), array([[230.41390435, 162.44564787]]), array([[236.2805401 , 158.62693278]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[190.5152732 ,  88.75742202]]), array([[193.21511896,  82.29902959]]), array([[182.25760262,  77.71838443]]), array([[179.55775686,  84.17677686]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[263.67144299, 311.20135119]]), array([[265.63738054, 317.91961655]]), array([[277.37757662, 314.48413268]]), array([[275.41163907, 307.76586732]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[264.72100237, 338.04581209]]), array([[266.15318064, 344.8977363 ]]), array([[277.11069698, 342.60741372]]), array([[275.67851871, 335.75548951]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[293.42195381, 354.28490075]]), array([[290.67445141, 360.72316376]]), array([[300.06660828, 364.73122828]]), array([[302.81411068, 358.29296527]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[291.68440176, 385.51492638]]), array([[292.41200347, 392.4770091 ]]), array([[303.36951981, 391.33184781]]), array([[302.6419181 , 384.36976509]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
11,"[[(array([[292.04820261, 403.24596774]]), array([[292.04820261, 410.24596774]]), array([[309.26715686, 410.24596774]]), array([[309.26715686, 403.24596774]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
12,"[[(array([[287.96997696, 452.67970852]]), array([[283.60355245, 458.15093664]]), array([[292.21302958, 465.02190438]]), array([[296.57945408, 459.55067627]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
13,"[[(array([[285.18404702, 486.74270521]]), array([[291.08556083, 490.50729479]]), array([[296.564319  , 481.91858512]]), array([[290.66280519, 478.15399553]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
14,"[[(array([[307.07898035, 486.84639471]]), array([[306.75925495, 493.83908916]]), array([[319.28213076, 494.41166981]]), array([[319.60185616, 487.41897536]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
15,"[[(array([[303.34026907, 517.21832327]]), array([[304.23652831, 524.16070899]]), array([[317.54208387, 522.44296705]]), array([[316.64582463, 515.50058134]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
16,"[[(array([[290.95674636, 564.68518345]]), array([[294.70501834, 570.59707462]]), array([[306.44521442, 563.15352623]]), array([[302.69694244, 557.24163506]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
