,boxes
0,"[[(array([[181.04456309, 168.88459639]]), array([[167.72177677, 158.32508103]]), array([[153.65968527, 176.06701651]]), array([[166.98247159, 186.62653187]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[255.41363555, 206.48061451]]), array([[231.81022066, 177.98712743]]), array([[212.33963243, 194.11615969]]), array([[235.94304731, 222.60964676]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[176.94258053, 216.29394636]]), array([[183.72245215, 231.883473  ]]), array([[209.68323646, 220.59315042]]), array([[202.90336485, 205.00362378]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[167.28440286, 137.23420147]]), array([[156.60285204, 150.45934692]]), array([[169.5832442 , 160.94321789]]), array([[180.26479502, 147.71807244]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[147.81929763, 133.58319929]]), array([[141.45357819, 117.82002651]]), array([[128.47318603, 123.061962  ]]), array([[134.83890547, 138.82513478]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[136.51158085, 158.57228133]]), array([[144.10770019, 149.28255738]]), array([[127.34136032, 135.57287996]]), array([[119.74524098, 144.86260391]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[151.68337762, 270.38540419]]), array([[150.56989036, 258.43717645]]), array([[133.26270081, 260.05007968]]), array([[134.37618807, 271.99830742]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[163.99465064, 393.85613234]]), array([[172.87299642, 408.35354508]]), array([[188.01678727, 399.07935153]]), array([[179.13844149, 384.58193879]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[151.56278165, 437.55240821]]), array([[167.99767587, 433.20565631]]), array([[160.42578044, 404.57662405]]), array([[143.99088622, 408.92337595]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[134.9484035 , 404.60371782]]), array([[146.75257689, 402.44466928]]), array([[143.50747885, 384.70273379]]), array([[131.70330546, 386.86178233]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[204.95460634, 491.26471299]]), array([[217.36728909, 502.8804483 ]]), array([[233.59277928, 485.54173862]]), array([[221.18009653, 473.92600331]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
11,"[[(array([[227.20476597, 491.95597529]]), array([[240.548502  , 509.44725051]]), array([[263.80503795, 491.70531503]]), array([[250.46130192, 474.21403981]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
