,boxes
0,"[[(array([[1430.33477368,  297.59346146]]), array([[1395.60640279,  354.89040951]]), array([[1476.07699103,  403.66460306]]), array([[1510.80536191,  346.36765501]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[2278.98457577,  569.4981719 ]]), array([[2266.48601247,  640.4050539 ]]), array([[2444.36836541,  671.75989261]]), array([[2456.86692871,  600.85301061]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[2242.20442179,  975.53645808]]), array([[2328.67793115,  965.97967095]]), array([[2307.50146056,  774.36676773]]), array([[2221.02795121,  783.92355486]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[1862.96329833, 1450.89369589]]), array([[1843.91905461, 1535.78372346]]), array([[1983.68376049, 1567.13856217]]), array([[2002.72800421, 1482.2485346 ]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[1935.2689319 , 2055.08467874]]), array([[1873.26047986, 2116.10886964]]), array([[1945.26047986, 2189.27015997]]), array([[2007.2689319 , 2128.24596907]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[2070.06528649, 2711.22026605]]), array([[2034.93471351, 2790.81199201]]), array([[2208.58177233, 2867.4571533 ]]), array([[2243.71234532, 2787.86542734]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[1444.67835454, 3090.73925067]]), array([[1508.32164546, 3031.42203966]]), array([[1410.90988075, 2926.90591063]]), array([[1347.26658984, 2986.22312163]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[2103.25430934, 3404.19212401]]), array([[2196.56922007, 3456.54981147]]), array([[2272.80451419, 3320.67884373]]), array([[2179.48960346, 3268.32115627]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[2154.48730074, 3147.58359633]]), array([[2246.9832875 , 3190.57769399]]), array([[2302.04211103, 3072.12608108]]), array([[2209.54612427, 3029.13198343]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[ 619.25129474, 1364.27584899]]), array([[ 521.04282291, 1336.72415101]]), array([[ 495.6310582 , 1427.30479617]]), array([[ 593.83953003, 1454.85649415]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[ 708.7597429 , 1544.37323724]]), array([[ 617.88731592, 1498.0461176 ]]), array([[ 562.82849239, 1606.0461176 ]]), array([[ 653.70091937, 1652.37323724]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
11,"[[(array([[ 948.11462748, 2289.05983564]]), array([[ 878.29713723, 2348.97242243]]), array([[ 929.12066664, 2408.19822888]]), array([[ 998.93815689, 2348.28564209]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
12,"[[(array([[ 972.25433726, 1298.78160761]]), array([[ 938.8633098 , 1234.99258594]]), array([[ 845.68683921, 1283.76677949]]), array([[ 879.07786668, 1347.55580115]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
13,"[[(array([[ 990.07428811, 2723.08114583]]), array([[ 954.92571189, 2785.91885417]]), array([[1060.80806483, 2845.14466062]]), array([[1095.95664105, 2782.30695228]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
