,boxes
0,"[[(array([[337.23343395,  23.96229871]]), array([[345.28290592,  32.86207405]]), array([[358.45937651,  20.94451132]]), array([[350.40990454,  12.04473599]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[320.60911981, 122.83613923]]), array([[322.3778083 , 134.70507941]]), array([[339.21440961, 132.19611884]]), array([[337.44572111, 120.32717866]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[289.11980122, 184.8272984 ]]), array([[296.76908767, 175.58130376]]), array([[275.5403295 , 158.01857974]]), array([[267.89104305, 167.26457438]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[306.80907811, 236.81817822]]), array([[309.82490882, 225.20332716]]), array([[285.66804607, 218.93092572]]), array([[282.65221537, 230.54577678]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[309.35409957, 324.80372845]]), array([[302.8877305 , 309.08157621]]), array([[284.5870769 , 316.60845793]]), array([[291.05344597, 332.33061017]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[280.43789938, 359.32721831]]), array([[292.27451892, 357.35378527]]), array([[289.34641434, 339.79106126]]), array([[277.50979481, 341.7644943 ]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[312.47682228, 398.05096257]]), array([[323.18984438, 392.64437793]]), array([[311.47742608, 369.43649263]]), array([[300.76440398, 374.84307726]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[318.81804546, 523.76428824]]), array([[313.92051663, 512.80918846]]), array([[297.08391532, 520.33607018]]), array([[301.98144415, 531.29116997]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[326.56967215, 501.78652605]]), array([[332.52183111, 512.20630549]]), array([[350.09045856, 502.1704632 ]]), array([[344.13829961, 491.75068375]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[310.65288796, 580.22574989]]), array([[319.15756956, 571.7599132 ]]), array([[297.92881139, 550.43374832]]), array([[289.42412979, 558.89958501]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[305.87528942, 670.69372061]]), array([[310.75869751, 654.41022204]]), array([[281.47765176, 645.62886004]]), array([[276.59424367, 661.9123586 ]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
