,boxes
0,"[[(array([[355.41831976,  36.80301142]]), array([[339.91011162,  43.76688106]]), array([[344.73854299,  54.51956923]]), array([[360.24675113,  47.55569959]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[345.56160886,  72.28022171]]), array([[345.90407741,  84.27533385]]), array([[371.01192055,  83.55848797]]), array([[370.669452  ,  71.56337583]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[385.76812094, 111.92856877]]), array([[373.29560455, 123.48003338]]), array([[383.91815357, 134.94956743]]), array([[396.39066996, 123.39810282]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[356.34479729, 313.7252427 ]]), array([[352.50324192, 330.28550998]]), array([[367.95422231, 333.86973937]]), array([[371.79577769, 317.3094721 ]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[306.56281064, 448.27233926]]), array([[297.99111093, 456.67031307]]), array([[305.71660113, 464.55561773]]), array([[314.28830083, 456.15764392]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[300.73939676, 510.47096305]]), array([[303.81452481, 522.07025559]]), array([[317.33413265, 518.4860262 ]]), array([[314.2590046 , 506.88673366]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[302.06086456, 546.46904304]]), array([[302.49305701, 553.45568814]]), array([[314.0812923 , 552.73884226]]), array([[313.64909986, 545.75219717]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[281.71150462, 623.94834208]]), array([[280.35222087, 630.81509878]]), array([[294.83751499, 633.6824823 ]]), array([[296.19679874, 626.81572559]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[328.8436938, 637.8894808]]), array([[327.85728659, 649.84887045]]), array([[345.23963953, 651.28256221]]), array([[346.22604674, 639.32317256]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[330.17324557, 754.69405094]]), array([[345.84146031, 748.09806376]]), array([[341.01302894, 736.62852971]]), array([[325.3448142 , 743.22451689]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[519.95401807, 755.98558961]]), array([[536.54107997, 759.7097509 ]]), array([[540.40382507, 742.50544982]]), array([[523.81676316, 738.78128853]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
11,"[[(array([[422.30695403, 771.24125712]]), array([[423.66853616, 783.1637608 ]]), array([[436.22245773, 781.73006905]]), array([[434.8608756 , 769.80756536]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
12,"[[(array([[534.35085111, 770.011815  ]]), array([[551.11483516, 767.18890184]]), array([[549.18346261, 755.71936779]]), array([[532.41947856, 758.54228095]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
