,boxes
0,"[[(array([[177.75307483,  63.47246385]]), array([[164.54594478,  74.17628167]]), array([[174.34986635,  86.27305586]]), array([[187.5569964 ,  75.56923804]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[179.9225677 ,  35.15947491]]), array([[177.08233427,  41.55737097]]), array([[194.23919701,  49.17385843]]), array([[197.07943044,  42.77596236]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[188.24808625, 101.33500908]]), array([[194.49210982, 111.58255365]]), array([[209.19799218, 102.62198017]]), array([[202.95396861,  92.3744356 ]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[170.2640677 , 168.52567724]]), array([[181.83887347, 165.35962742]]), array([[177.54965779, 149.67862384]]), array([[165.97485202, 152.84467365]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[202.45723624, 254.65282083]]), array([[193.763352 , 262.9242401]]), array([[203.56727357, 273.2288996 ]]), array([[212.26115781, 264.95748033]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[117.8434132 , 229.95419434]]), array([[109.25952797, 238.33971247]]), array([[121.51442993, 250.88451534]]), array([[130.09831516, 242.49899721]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[120.92131751, 339.26011978]]), array([[128.2404472 , 329.75063291]]), array([[116.59829033, 320.79005943]]), array([[109.27916065, 330.29954631]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[113.71185187, 369.18331289]]), array([[125.64599126, 367.92779822]]), array([[124.42050107, 356.2790527 ]]), array([[112.48636168, 357.53456737]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[165.65721301, 427.15742525]]), array([[177.8672968 , 438.98594392]]), array([[198.70063013, 417.48056758]]), array([[186.49054634, 405.65204891]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[ 63.49943972, 419.53477843]]), array([[ 71.69173675, 410.76629684]]), array([[ 60.66232498, 400.46163734]]), array([[ 52.47002796, 409.23011893]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
