,boxes
0,"[[(array([[359.43168619, 142.03783693]]), array([[354.70066675, 173.68617741]]), array([[391.52909812, 179.19155375]]), array([[396.26011757, 147.54321327]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[401.50393332, 230.46370793]]), array([[406.37351766, 246.75134583]]), array([[430.92580524, 239.41084404]]), array([[426.0562209 , 223.12320614]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[404.32066825, 300.4831158 ]]), array([[414.71691345, 319.87172291]]), array([[440.3852141 , 306.10828205]]), array([[429.98896891, 286.71967494]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[270.33171526, 333.6628882 ]]), array([[285.32678147, 361.93209387]]), array([[319.9231867 , 343.58083939]]), array([[304.92812049, 315.31163372]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[366.28249774, 343.19298485]]), array([[370.17011664, 359.74249902]]), array([[393.60639115, 354.23712268]]), array([[389.71877225, 337.68760851]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[394.50494411, 419.57839996]]), array([[399.98035001, 435.67249609]]), array([[432.34472909, 424.66174341]]), array([[426.86932319, 408.56764728]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[249.57206664, 480.20940803]]), array([[239.12564578, 466.79776043]]), array([[217.92139742, 483.31388946]]), array([[228.36781827, 496.72553706]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[149.28864006, 549.80087216]]), array([[151.91887628, 533.00557945]]), array([[128.48260177, 529.33532855]]), array([[125.85236555, 546.13062127]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[509.3124099 , 424.77980893]]), array([[506.14347246, 441.48183981]]), array([[535.15981233, 446.98721616]]), array([[538.32874976, 430.28518528]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[455.7828544 , 521.45160675]]), array([[448.07172076, 506.30108142]]), array([[424.63544625, 518.22939683]]), array([[432.34657989, 533.37992217]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[240.47725068, 531.50097284]]), array([[232.59627873, 516.43809526]]), array([[208.04399115, 529.28397339]]), array([[215.9249631 , 544.34685098]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
11,"[[(array([[247.74989464, 623.02419417]]), array([[252.1079485 , 606.59229329]]), array([[217.51154327, 597.41666605]]), array([[213.15348941, 613.84856693]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
12,"[[(array([[504.09822407, 567.01429646]]), array([[495.73347528, 587.36204763]]), array([[531.44589358, 602.04305121]]), array([[539.81064237, 581.69530004]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
13,"[[(array([[491.42833792, 655.58295071]]), array([[497.2432307 , 676.80056184]]), array([[537.41970129, 665.78980915]]), array([[531.60480851, 644.57219802]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
14,"[[(array([[412.34368449, 819.19890987]]), array([[413.38997564, 836.16668152]]), array([[458.03049852, 833.41399335]]), array([[456.98420736, 816.4462217 ]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
15,"[[(array([[420.37628539, 925.62612989]]), array([[434.37371461, 935.27351169]]), array([[453.34593683, 907.74662996]]), array([[439.34850762, 898.09924817]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
